folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas
2911,2023-02-10 00:00:00+00:00,Tlajomulco,1409700320053,30,,,4,Hipotecada,No quiso responder,0,0,1,,Jefe del hogar,No,No,104,,0.0646018202510715,0.3039454726109178,0.2267067656040604,0.070540448002003,0.1240775037487093,0.2025902365803188,0.0075377532029189,,24.99017786534133,0,0
2912,2023-02-10 00:00:00+00:00,Tlajomulco,1409708843965,30,Falta de señalamientos,El tiempo de duración de viaje,4,Rentada,"$10,001 y $15,000",0,0,2,,Cónyuge,No,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
2913,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800143229,30,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,104,,0.1245376367945348,0.3632492215215963,0.2400280086419611,0.0670936397277449,0.1075337309945406,0.0919582519434197,0.0055995103762023,,18.664305289522556,32,0
2914,2023-02-10 00:00:00+00:00,Tlajomulco,1409704241761,22,Insuficiente transporte público,El tiempo de duración de viaje,4,Rentada,"$7,001 y $10,000",1,1,1,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,38,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,22
2915,2023-02-10 00:00:00+00:00,Tlajomulco,1409700251456,30,Vialidades insuficientes,La falta de comodidad de las unidades del transporte,2,Propia,No quiso responder,0,0,1,,Jefe del hogar,No,No,104,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,0,0
2916,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441704,30,Congestionamiento,El tiempo de duración de viaje,3,Prestada,No quiso responder,1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,104,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
2917,2023-02-10 00:00:00+00:00,Tlajomulco,1409708441704,30,Vialidades insuficientes,El sobrecupo de personas en las unidades del transporte,1,Prestada,"$3,001 y $7,000",0,0,0,,Cónyuge,No,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
2918,2023-02-10 00:00:00+00:00,Tlajomulco,1409704241761,22,Insuficiente transporte público,El sobrecupo de personas en las unidades del transporte,7,Propia,No sabe,0,0,0,,Jefe del hogar,Sí,Sí,38,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
2919,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141114,30,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$3,001 y $7,000",0,0,0,,Cónyuge,Sí,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
2920,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141114,30,Pavimento deteriorado,El sobrecupo de personas en las unidades del transporte,4,Rentada,"$7,001 y $10,000",0,0,0,,Cónyuge,No,No,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
2921,2023-02-10 00:00:00+00:00,Tlajomulco,1409706663950,30,Tiempos excesivos de traslado,El tiempo de duración de viaje,3,Propia,No sabe,0,0,1,,Jefe del hogar,No,No,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,0
2922,2023-02-10 00:00:00+00:00,Tlajomulco,1409708843965,30,Vialidades insuficientes,,4,Rentada,"$15,001 y $25,000",1,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,104,Preparatoria Completa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,32,22
2923,2023-02-10 00:00:00+00:00,Tlajomulco,1409706663950,30,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,No,Sí,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0,22
2924,2023-02-10 00:00:00+00:00,Tlajomulco,1409708843965,30,Congestionamiento,,5,Propia,"$7,001 y $10,000",0,0,0,,Cónyuge,No,Sí,104,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,0
2925,2023-02-10 00:00:00+00:00,Tlaquepaque,1409800141129,30,Congestionamiento,Poca frecuencia de paso en el día,6,Propia,"$15,001 y $25,000",1,0,2,En la cochera de la casa,Hijo,Sí,No,104,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,22
2926,2023-02-10 00:00:00+00:00,Tlajomulco,140970602,30,Congestionamiento,El sobrecupo de personas en las unidades del transporte,5,Propia,No quiso responder,1,0,1,,Cónyuge,No,No,104,,0.0198410934747225,0.1805862426885028,0.3641002108607116,0.0706139689351783,0.1598964169881896,0.1829859441014368,0.0219761229512581,,27.145718162098284,0,22
