municipio,nombre_municipio,localidad,nombre_localidad,ageb,ab_num_viviendas,ab_probability,c_mas_num_viviendas,c_mas_probability,c_num_viviendas,c_probability,c_menos_num_viviendas,c_menos_probability,d_mas_num_viviendas,d_mas_probability,d_num_viviendas,d_probability,e_num_viviendas,e_probability,nivel_predominante,num_viviendas,tamano_localidad,clave_ageb
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3043,4,0.0042643923240938165,37,0.039445628997867806,103,0.10980810234541578,232,0.24733475479744135,228,0.24307036247334754,328,0.34968017057569295,6,0.006396588486140725,D,938,"100,000 a 249,999",1409708223043
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3058,4,0.002310803004043905,25,0.014442518775274409,92,0.05314846909300982,225,0.12998266897746968,404,0.23339110340843444,916,0.5291738879260544,65,0.03755054881571346,D,1731,"100,000 a 249,999",1409708223058
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3062,0,0.0,,,22,0.03492063492063492,48,0.0761904761904762,110,0.1746031746031746,418,0.6634920634920635,30,0.047619047619047616,D,630,"100,000 a 249,999",1409708223062
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3077,,,15,0.010901162790697675,75,0.05450581395348837,164,0.11918604651162791,287,0.20857558139534885,804,0.5843023255813954,29,0.021075581395348836,D,1376,"100,000 a 249,999",1409708223077
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3081,0,0.0,5,0.010683760683760684,19,0.0405982905982906,38,0.0811965811965812,80,0.17094017094017094,296,0.6324786324786325,30,0.0641025641025641,D,468,"100,000 a 249,999",1409708223081
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3452,0,0.0,,,0,0.0,4,0.08888888888888889,7,0.15555555555555556,27,0.6,6,0.13333333333333333,D,45,"100,000 a 249,999",1409708223452
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3471,,,15,0.01744186046511628,51,0.05930232558139535,181,0.21046511627906977,224,0.26046511627906976,379,0.44069767441860463,8,0.009302325581395349,D,860,"100,000 a 249,999",1409708223471
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3486,0,0.0,5,0.023696682464454975,11,0.052132701421800945,27,0.12796208530805686,52,0.24644549763033174,110,0.5213270142180095,6,0.02843601895734597,D,211,"100,000 a 249,999",1409708223486
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3490,0,0.0,11,0.03151862464183381,33,0.09455587392550144,65,0.18624641833810887,108,0.30945558739255014,130,0.37249283667621774,,,D,349,"100,000 a 249,999",1409708223490
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,358A,,,5,0.012165450121654502,30,0.072992700729927,82,0.19951338199513383,112,0.2725060827250608,166,0.40389294403892945,15,0.0364963503649635,D,411,"100,000 a 249,999",140970822358A
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3698,,,8,0.017543859649122806,22,0.04824561403508772,73,0.1600877192982456,133,0.2916666666666667,216,0.47368421052631576,3,0.006578947368421052,D,456,"100,000 a 249,999",1409708223698
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3700,3,0.0030181086519114686,13,0.013078470824949699,71,0.07142857142857142,166,0.16700201207243462,270,0.2716297786720322,443,0.44567404426559354,28,0.028169014084507043,D,994,"100,000 a 249,999",1409708223700
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3715,0,0.0,7,0.012612612612612612,37,0.06666666666666667,109,0.1963963963963964,169,0.3045045045045045,222,0.4,11,0.01981981981981982,D,555,"100,000 a 249,999",1409708223715
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,372A,,,6,0.008888888888888889,50,0.07407407407407407,119,0.17629629629629628,200,0.2962962962962963,281,0.4162962962962963,18,0.02666666666666667,D,675,"100,000 a 249,999",140970822372A
97,Tlajomulco de Zúñiga,822,Hacienda Santa Fe,3749,4,0.0031201248049922,26,0.0202808112324493,104,0.0811232449297972,207,0.16146645865834633,372,0.29017160686427457,564,0.43993759750390016,5,0.0039001560062402497,D,1282,"100,000 a 249,999",1409708223749
97,Tlajomulco de Zúñiga,823,Cima del Sol (Fraccionamiento Cima del Sol),4003,,,25,0.0357653791130186,67,0.09585121602288985,104,0.14878397711015737,147,0.21030042918454936,338,0.48354792560801146,16,0.022889842632331903,D,699,"5,000 a 9,999",1409708234003
97,Tlajomulco de Zúñiga,823,Cima del Sol (Fraccionamiento Cima del Sol),4041,14,0.0166270783847981,68,0.08076009501187649,157,0.18646080760095013,187,0.22209026128266032,176,0.20902612826603326,224,0.2660332541567696,16,0.019002375296912115,D,842,"5,000 a 9,999",1409708234041
97,Tlajomulco de Zúñiga,823,Cima del Sol (Fraccionamiento Cima del Sol),422A,6,0.01160541586073501,18,0.03481624758220503,58,0.11218568665377177,81,0.15667311411992263,118,0.22823984526112184,226,0.437137330754352,10,0.019342359767891684,D,517,"5,000 a 9,999",140970823422A
97,Tlajomulco de Zúñiga,827,Bosques Santa Anita [Fraccionamiento],4130,445,0.5091533180778032,296,0.33867276887871856,85,0.09725400457665904,27,0.030892448512585814,18,0.020594965675057208,3,0.003432494279176201,0,0.0,A/B,874,"2,500 a 4,999",1409708274130
97,Tlajomulco de Zúñiga,831,Real del Valle (El Paraíso) [Fraccionamiento],1634,183,0.1525,358,0.29833333333333334,283,0.23583333333333334,174,0.145,108,0.09,89,0.07416666666666667,5,0.004166666666666667,C+,1200,"15,000 a 29,999",1409708311634
97,Tlajomulco de Zúñiga,831,Real del Valle (El Paraíso) [Fraccionamiento],1649,77,0.15430861723446893,149,0.2985971943887776,118,0.23647294589178355,85,0.17034068136272545,46,0.09218436873747494,23,0.04609218436873747,,,C+,499,"15,000 a 29,999",1409708311649
97,Tlajomulco de Zúñiga,831,Real del Valle (El Paraíso) [Fraccionamiento],1653,144,0.11566265060240964,366,0.29397590361445786,305,0.24497991967871485,205,0.1646586345381526,133,0.10682730923694779,87,0.06987951807228916,5,0.004016064257028112,C+,1245,"15,000 a 29,999",1409708311653
