folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
11183,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11184,1,Jefe del hogar,Jefe del hogar,observado,73.0,Hombres,Viudo,1,Propia,"$3,001 y $7,000",0,No,No,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
11185,1,Jefe del hogar,Jefe del hogar,observado,53.0,Hombres,Soltero,1,Rentada,"$3,001 y $7,000",0,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000013819,Carrera técnica con preparatoria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
11186,1,Jefe del hogar,Jefe del hogar,observado,39.0,Hombres,Casado,4,Hipotecada,No quiso responder,0,No,No,No,No,Sí,Sí,Sí,01,1412000013113,,,0.00932088275406345,0.07630189139123829,0.31154554281396296,0.07928407984370173,0.26956203567063736,0.2455134945000755,0.008472073026320663,,30.754271758209015
11186,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11186,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11186,4,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11187,1,Jefe del hogar,Jefe del hogar,observado,45.0,Hombres,Soltero,2,Propia,"$7,001 y $10,000",0,No,No,No,No,Sí,Sí,No,01,1412000013787,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
11187,2,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11188,1,Jefe del hogar,Jefe del hogar,observado,60.0,Mujeres,Soltero,2,Propia,"$7,001 y $10,000",0,Sí,No,Sí,Sí,Sí,Sí,Sí,01,1412000014287,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
