Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
17912,29-Apr-23,Tlajomulco,1409700150956,51F,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,10
17913,29-Apr-23,Tlajomulco,1409700150956,51F,Pavimento deteriorado,Poca frecuencia de paso en el día,2,Propia,No sabe,0,0,0,,Jefe del hogar,No,No,10
17915,29-Apr-23,Tlajomulco,1409700150956,51F,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Rentada,No quiso responder,0,0,0,,Jefe del hogar,No,Sí,10
17916,29-Apr-23,Tlajomulco,1409700150956,51F,Pavimento deteriorado,Poca frecuencia de paso en el día,2,Propia,No sabe,0,3,0,,Otro parentesco,Sí,Sí,10
17917,29-Apr-23,Tlajomulco,140970123,51F,,,2,Rentada,No quiso responder,0,0,0,,Jefe del hogar,Sí,No,10
17918,29-Apr-23,Tlajomulco,1409700150956,51F,Insuficiente transporte público,Trato del/de la chofer,4,Propia,No quiso responder,0,0,0,,Jefe del hogar,Sí,Sí,10
17954,11-Apr-23,Zapotlanejo,141240029,48F,Calles inundadas,Poca frecuencia de paso en el día,5,Rentada,"$3,001 y $7,000",0,0,0,,Nieto,Sí,No,3
17955,21-Apr-23,Tlajomulco,1409700092825,02F,Tiempos excesivos de traslado,Falta de cubiertas para espera en las paradas,3,Rentada,"$10,001 y $15,000",0,0,0,,Hijo,Sí,No,57
17957,5-Apr-23,Tlajomulco,1409700411263,02F,Insuficiente transporte público,Falta de información de rutas,5,Rentada,"$7,001 y $10,000",0,0,0,,Compañero,Sí,No,57
17963,17-Feb-23,Tlaquepaque,1409800013322,18,Falta de estacionamiento,Trato del/de la chofer,4,Rentada,"$7,001 y $10,000",0,0,0,,Otro parentesco,Sí,No,178
17964,17-Feb-23,Tlaquepaque,140980001110A,18,Falta de cruces peatonales,Trato del/de la chofer,6,Rentada,"$15,001 y $25,000",0,0,0,,Compañero,Sí,No,178
17965,17-Feb-23,Tlaquepaque,140980001110A,18,Insuficiente transporte público,El costo del viaje,2,Rentada,"$10,001 y $15,000",0,0,0,En la cochera de la casa,Hijo,Sí,No,178
4,26-Jan-23,Guadalajara,1403900010539,09,Falta de señalamientos,El tiempo de duración de viaje,3,Rentada,"Más de $25,001",1,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249
5,26-Jan-23,Guadalajara,1403900010539,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249
6,26-Jan-23,Guadalajara,1403900010825,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
8,26-Jan-23,Guadalajara,140390001418A,09,Pavimento deteriorado,El costo del viaje,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249
10,26-Jan-23,Guadalajara,140390001418A,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,3,Rentada,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,249
18,26-Jan-23,Guadalajara,140390001418A,09,Pavimento deteriorado,Poca frecuencia de paso en el día,6,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
21,26-Jan-23,Guadalajara,1403900010825,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,5,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
22,26-Jan-23,Guadalajara,140390001083A,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,4,Propia,"$7,001 y $10,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
23,26-Jan-23,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,5,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
25,26-Jan-23,Guadalajara,1403900010859,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,7,Prestada,"$3,001 y $7,000",1,0,0,,Hijo,Sí,No,249
26,26-Jan-23,Guadalajara,1403900014245,09,Congestionamiento,Poca frecuencia de paso en el día,3,Prestada,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249
28,26-Jan-23,Guadalajara,140390001083A,09,Falta de señalamientos,Falta de información de rutas,6,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
29,26-Jan-23,Guadalajara,1403900013209,09,Congestionamiento,Trato del/de la chofer,5,Propia,"Más de $25,001",1,0,2,En la cochera de la casa,Cónyuge,Sí,No,249
32,26-Jan-23,Guadalajara,1403900014283,09,Congestionamiento,Poca frecuencia de paso en la noche,6,Rentada,"$15,001 y $25,000",1,1,0,"En la calle, afuera de la casa",Hijo,Sí,No,249
38,26-Jan-23,Guadalajara,1403900013800,09,Congestionamiento,Falta de información de rutas,3,Propia,"$10,001 y $15,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249
40,26-Jan-23,Guadalajara,140390001418A,09,Vialidades insuficientes,Poca frecuencia de paso en el día,3,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249
42,26-Jan-23,Guadalajara,1403900010825,09,Congestionamiento,La distancia a las paradas,8,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
43,26-Jan-23,Guadalajara,1403900015012,09,Falta de ciclovías,La distancia a las paradas,4,Propia,"$7,001 y $10,000",1,1,2,"En la calle, afuera de la casa",Jefe del hogar,Sí,Sí,249
45,26-Jan-23,Guadalajara,1403900015012,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,4,Propia,"$10,001 y $15,000",1,0,2,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249
47,26-Jan-23,Guadalajara,140390001418A,09,Tiempos excesivos de traslado,El sobrecupo de personas en las unidades del transporte,5,Propia,"$10,001 y $15,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
50,26-Jan-23,Guadalajara,140390001418A,09,Falta de cruces peatonales,Falta de cubiertas para espera en las paradas,3,Prestada,"$15,001 y $25,000",1,0,0,"En la calle, afuera de la casa",Cónyuge,Sí,Sí,249
52,26-Jan-23,Guadalajara,1403900010859,09,Falta de señalamientos,El sobrecupo de personas en las unidades del transporte,2,Propia,"Hasta $1,500",1,0,0,,Jefe del hogar,No,No,249
56,26-Jan-23,Guadalajara,1403900015296,09,Vialidades insuficientes,Falta de información de rutas,3,Propia,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
59,26-Jan-23,Guadalajara,1403900013209,09,Falta de ciclovías,Conducción del/ de la chofer,3,Prestada,"$10,001 y $15,000",1,0,2,,Jefe del hogar,Sí,No,249
63,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,Poca frecuencia de paso en el día,4,Rentada,No quiso responder,1,0,0,En la cochera de la casa,Hijo,Sí,Sí,249
65,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,El tiempo de duración de viaje,4,Propia,No sabe,1,0,0,"En la calle, afuera de la casa",Otro parentesco,Sí,Sí,249
66,26-Jan-23,Guadalajara,140390001083A,09,Falta de cruces peatonales,El sobrecupo de personas en las unidades del transporte,3,Propia,"$3,001 y $7,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
67,26-Jan-23,Guadalajara,1403900014245,09,Falta de estacionamiento,Falta de información de rutas,2,Propia,"$1,501 y $3,000",1,0,0,,Cónyuge,No,Sí,249
69,26-Jan-23,Guadalajara,1403900010825,09,Congestionamiento,La distancia a las paradas,5,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,No,249
70,26-Jan-23,Guadalajara,1403900014226,09,Pavimento deteriorado,Poca frecuencia de paso en el día,4,Propia,"$10,001 y $15,000",1,0,2,En la cochera de la casa,Jefe del hogar,Sí,No,249
71,26-Jan-23,Guadalajara,1403900014245,09,Insuficiente transporte público,Falta de información de rutas,3,Rentada,"$3,001 y $7,000",1,0,1,"En la calle, afuera de la casa",Otro parentesco,Sí,Sí,249
75,26-Jan-23,Guadalajara,1403900015296,09,Congestionamiento,Poca frecuencia de paso en el día,5,Propia,"$15,001 y $25,000",1,0,1,En la cochera de la casa,Jefe del hogar,Sí,No,249
